pipeline	fitness	fit_time
selectFwe(0.04736632413667868);pca(0.5247896977635468,False);varianceThreshold();varianceThreshold();extraTreesClassifier(84,'gini','log2',5,18,True,'balanced')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();minMaxScaler();varianceThreshold();nystroem('poly',1.39807598979412,60,2,-0.03695436366961058);adaBoost(decisionTree('gini',12,2,0.07031557615348971,7,'None'),29,1.0149772493231832,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();maxAbsScaler();adaBoost(decisionTree('entropy',25,7,0.6085546389515137,5,'balanced'),28,0.6911758795755965,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
qda(0.723127961069629)	eval_error (The covariance matrix of class 21 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 21 has 7 samples and 10 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.)	eval_error (The covariance matrix of class 21 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 21 has 7 samples and 10 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.)
kNN(3,'uniform',1)	0.12535825934457606	3.1285927295684814
varianceThreshold();extraTreesClassifier(72,'entropy','sqrt',4,18,True,'balanced_subsample')	0.15765959902089038	4.670407295227051
pca(0.6928571420791108,True);minMaxScaler();minMaxScaler();robustScaler(False,False);mlpClassifier((45, 5),0.08123486314972199,0.8203055048089175,'sgd','relu')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
selectFwe(0.0143483446270241);pca(0.7615525054721541,True);nystroem('poly',0.35167083821096917,25,5,-0.11576382344991276);selectPercentile(77.82572968296921);maxAbsScaler();fastICA(61,'parallel','unit-variance','exp');decisionTree('entropy',17,14,0.33911614433881987,7,'None')	0.12481862086840807	5.9937238693237305
nystroem('rbf',5.258345918838443,25,5,0.56460576819618);fastICA(44,'parallel','arbitrary-variance','exp');robustScaler(False,False);adaBoost(decisionTree('gini',1,2,0.7993570116973681,4,'balanced'),65,1.9563906674809646,'SAMME')	eval_error (BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.)	eval_error (BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.)
varianceThreshold();fastICA(65,'deflation','unit-variance','exp');maxAbsScaler();varianceThreshold();selectFwe(0.034701543769405645);minMaxScaler();bernoulliNB(1.752379375585162,False)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(True,False);maxAbsScaler();maxAbsScaler();adaBoost(decisionTree('gini',23,13,0.2313836030504699,16,'None'),13,0.20095687872771922,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
